nu,a,elower,gp,gpp,statep,statepp,nu-err,nu-ref
2.904236,3.885e-08,322.143,312,312,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=19;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=19;K=2;rovibSym=E1,5,569
2.905171,1.865e-06,906.717,296,296,ElecStateLabel=X;v12=1;J=18;K=10;rovibSym=E1,ElecStateLabel=X;v12=1;J=18;K=11;rovibSym=E1,5,569
2.910055,2.711e-08,177.941,232,232,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=14;K=1;rovibSym=A-,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=14;K=1;rovibSym=A+,5,569
2.919691,1.96e-06,937.196,312,312,ElecStateLabel=X;v12=1;J=19;K=10;rovibSym=E1,ElecStateLabel=X;v12=1;J=19;K=11;rovibSym=E1,5,569
2.933863,1.017e-11,294.034,56,72,ElecStateLabel=X;v12=1;J=3;K=1;rovibSym=E2,ElecStateLabel=X;v12=1;J=4;K=2;rovibSym=E1,5,569
2.933934,2.042e-06,969.274,328,328,ElecStateLabel=X;v12=1;J=20;K=10;rovibSym=E1,ElecStateLabel=X;v12=1;J=20;K=11;rovibSym=E1,5,569
2.947749,2.112e-06,1002.95,344,344,ElecStateLabel=X;v12=1;J=21;K=10;rovibSym=E1,ElecStateLabel=X;v12=1;J=21;K=11;rovibSym=E1,5,569
2.95521,1.097e-06,225.197,248,232,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=15;K=3;rovibSym=A+,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=14;K=4;rovibSym=A+,5,569
2.960977,2.171e-06,1038.22,360,360,ElecStateLabel=X;v12=1;J=22;K=10;rovibSym=E1,ElecStateLabel=X;v12=1;J=22;K=11;rovibSym=E1,5,569
2.966722,1.111e-06,225.197,248,232,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=15;K=3;rovibSym=A-,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=14;K=4;rovibSym=A-,5,569
2.973451,2.219e-06,1075.09,376,376,ElecStateLabel=X;v12=1;J=23;K=10;rovibSym=E1,ElecStateLabel=X;v12=1;J=23;K=11;rovibSym=E1,5,569
